名称,区域代码,人口
石家庄市,130100,"11,235,086"
长安区,130102,"1,059,572"
桥西区,130104,"979,646"
新华区,130105,"802,057"
井陉矿区,130107,"77,015"
裕华区,130108,"1,041,205"
藁城区,130109,"797,215"
鹿泉区,130110,"588,279"
栾城区,130111,"413,414"
井陉县,130121,"250,989"
正定县,130123,"549,321"
行唐县,130125,"376,627"
灵寿县,130126,"309,121"
高邑县,130127,"178,368"
深泽县,130128,"215,806"
赞皇县,130129,"242,549"
无极县,130130,"451,377"
平山县,130131,"423,333"
元氏县,130132,"392,710"
赵县,130133,"505,366"
辛集市,130181,"594,628"
晋州市,130183,"507,959"
新乐市,130184,"478,529"
唐山市,130200,"7,717,983"
路南区,130202,"334,204"
路北区,130203,"914,396"
古冶区,130204,"317,932"
开平区,130205,"279,432"
丰南区,130207,"648,640"
丰润区,130208,"840,934"
曹妃甸区,130209,"352,069"
滦南县,130224,"508,538"
乐亭县,130225,"487,416"
迁西县,130227,"365,615"
玉田县,130229,"664,906"
遵化市,130281,"707,047"
迁安市,130283,"776,752"
滦州市,130284,"520,102"
秦皇岛市,130300,"3,134,200"
海港区,130302,"1,000,822"
山海关区,130303,"150,500"
北戴河区,130304,"121,950"
抚宁区,130306,"407,442"
青龙满族自治县,130321,"506,615"
昌黎县,130322,"541,163"
卢龙县,130324,"405,708"
邯郸市,130400,"9,413,990"
邯山区,130402,"837,419"
丛台区,130403,"866,611"
复兴区,130404,"367,961"
峰峰矿区,130406,"429,245"
肥乡区,130407,"372,265"
永年区,130408,"851,227"
临漳县,130423,"589,003"
成安县,130424,"401,052"
大名县,130425,"726,396"
涉县,130426,"379,559"
磁县,130427,"440,728"
邱县,130430,"210,998"
鸡泽县,130431,"297,425"
广平县,130432,"264,025"
馆陶县,130433,"307,912"
魏县,130434,"796,806"
曲周县,130435,"463,727"
武安市,130481,"811,631"
邢台市,130500,"7,111,106"
襄都区,130502,"540,533"
信都区,130503,"798,770"
任泽区,130505,"342,869"
南和区,130506,"350,384"
临城县,130522,"199,793"
内丘县,130523,"258,260"
柏乡县,130524,"168,761"
隆尧县,130525,"480,447"
宁晋县,130528,"745,389"
巨鹿县,130529,"346,007"
新河县,130530,"134,095"
广宗县,130531,"280,603"
平乡县,130532,"323,675"
威县,130533,"496,230"
清河县,130534,"421,582"
临西县,130535,"326,968"
南宫市,130581,"396,718"
沙河市,130582,"500,022"
保定市,130600,"11,241,710"
竞秀区,130602,"522,813"
莲池区,130606,"913,541"
满城区,130607,"391,359"
清苑区,130608,"625,246"
徐水区,130609,"604,275"
涞水县,130623,"315,753"
阜平县,130624,"194,004"
定兴县,130626,"512,765"
唐县,130627,"505,849"
高阳县,130628,"318,986"
容城县,130629,"276,372"
涞源县,130630,"248,890"
望都县,130631,"233,790"
安新县,130632,"474,927"
易县,130633,"485,536"
曲阳县,130634,"573,975"
蠡县,130635,"488,152"
顺平县,130636,"269,678"
博野县,130637,"225,065"
雄县,130638,"401,248"
涿州市,130681,"667,678"
定州市,130682,"1,095,986"
安国市,130683,"363,091"
高碑店市,130684,"532,731"
张家口市,130700,"4,118,908"
桥东区,130702,"422,753"
桥西区,130703,"393,227"
宣化区,130705,"542,358"
下花园区,130706,"64,216"
万全区,130708,"216,795"
崇礼区,130709,"105,501"
张北县,130722,"325,795"
康保县,130723,"138,205"
沽源县,130724,"167,587"
尚义县,130725,"104,247"
蔚县,130726,"411,824"
阳原县,130727,"205,773"
怀安县,130728,"179,949"
怀来县,130730,"348,746"
涿鹿县,130731,"294,013"
赤城县,130732,"197,919"
承德市,130800,"3,354,444"
双桥区,130802,"493,806"
双滦区,130803,"187,361"
鹰手营子矿区,130804,"54,730"
承德县,130821,"340,579"
兴隆县,130822,"271,628"
滦平县,130824,"268,647"
隆化县,130825,"347,707"
丰宁满族自治县,130826,"326,353"
宽城满族自治县,130827,"240,579"
围场满族蒙古族自治县,130828,"423,676"
平泉市,130881,"399,378"
沧州市,130900,"7,831,297"
新华区,130902,"226,391"
运河区,130903,"353,200"
沧县,130921,"740,889"
青县,130922,"439,413"
东光县,130923,"384,736"
海兴县,130924,"236,162"
盐山县,130925,"495,170"
肃宁县,130926,"369,551"
南皮县,130927,"399,490"
吴桥县,130928,"281,237"
献县,130929,"661,330"
孟村回族自治县,130930,"232,487"
泊头市,130981,"631,330"
任丘市,130982,"900,987"
黄骅市,130983,"576,418"
河间市,130984,"902,506"
廊坊市,131000,"5,464,087"
安次区,131002,"479,826"
广阳区,131003,"667,765"
固安县,131022,"576,344"
永清县,131023,"384,767"
香河县,131024,"449,038"
大城县,131025,"481,902"
文安县,131026,"544,778"
大厂回族自治县,131028,"171,366"
霸州市,131081,"743,266"
三河市,131082,"965,075"
衡水市,131100,"4,555,864"
桃城区,131102,"647,441"
冀州区,131103,"344,658"
枣强县,131121,"405,367"
武邑县,131122,"318,554"
武强县,131123,"216,284"
饶阳县,131124,"290,772"
安平县,131125,"336,719"
故城县,131126,"525,962"
景县,131127,"547,723"
阜城县,131128,"354,296"
深州市,131182,"568,088"
太原市,140100,"5,304,061"
小店区,140105,"1,357,242"
迎泽区,140106,"594,238"
杏花岭区,140107,"779,479"
尖草坪区,140108,"530,499"
万柏林区,140109,"951,238"
晋源区,140110,"316,445"
清徐县,140121,"344,472"
阳曲县,140122,"128,483"
娄烦县,140123,"91,208"
古交市,140181,"210,757"
大同市,140200,"3,105,591"
新荣区,140212,"88,664"
平城区,140213,"1,105,699"
云冈区,140214,"684,753"
云州区,140215,"151,087"
阳高县,140221,"191,981"
天镇县,140222,"160,691"
广灵县,140223,"154,253"
灵丘县,140224,"212,771"
浑源县,140225,"237,749"
左云县,140226,"117,943"
阳泉市,140300,"1,318,505"
城区,140302,"225,443"
矿区,140303,"230,691"
郊区,140311,"275,094"
平定县,140321,"306,228"
盂县,140322,"281,049"
长治市,140400,"3,180,884"
潞州区,140403,"895,280"
上党区,140404,"319,660"
屯留区,140405,"253,756"
潞城区,140406,"219,256"
襄垣县,140423,"260,081"
平顺县,140425,"115,927"
黎城县,140426,"134,186"
壶关县,140427,"240,109"
长子县,140428,"298,690"
武乡县,140429,"155,386"
沁县,140430,"138,578"
沁源县,140431,"149,975"
晋城市,140500,"2,194,545"
城区,140502,"574,665"
沁水县,140521,"196,528"
阳城县,140522,"350,474"
陵川县,140524,"204,825"
泽州县,140525,"414,999"
高平市,140581,"453,054"
朔州市,140600,"1,593,444"
朔城区,140602,"565,075"
平鲁区,140603,"148,212"
山阴县,140621,"199,505"
应县,140622,"243,970"
右玉县,140623,"88,212"
怀仁市,140681,"348,470"
晋中市,140700,"3,379,498"
榆次区,140702,"904,518"
太谷区,140703,"322,099"
榆社县,140721,"111,714"
